OBJECTID	Field1	X	longitude	latitude	xco2	sif757	sif771	year	month	day	date
260	42074	42074	-45.85297	-24.55414	395.5414	-0.6781706	-0.05258362	2015	6	3	42158
261	42075	42075	-45.85297	-24.30518	395.2765	-0.08261359	-0.1911639	2015	6	3	42158
262	42076	42076	-45.85297	-24.05622	394.5446	0.0124234	1.260195	2015	6	3	42158
263	42077	42077	-45.85297	-23.80727	398.7997	-0.2730064	-0.05965367	2015	6	10	42165
264	42122	42122	-45.60323	-26.79477	395.0488	0.678042	0.02641664	2015	6	3	42158
265	42123	42123	-45.60323	-26.54581	394.6849	-0.3400339	-0.1425029	2015	6	3	42158
266	42124	42124	-45.60323	-26.29685	394.27	0.00434373	-0.1844834	2015	6	3	42158
267	42125	42125	-45.60323	-26.04789	394.7461	-0.6411156	0.03246641	2015	6	3	42158
268	42126	42126	-45.60323	-25.79894	393.5392	0.04867711	-0.1427304	2015	6	3	42158
269	42127	42127	-45.60323	-25.54998	393.4993	3.029894	-0.4279207	2015	6	3	42158
270	42128	42128	-45.60323	-25.30102	391.9974	0.3222661	0.1274209	2015	6	3	42158
271	42176	42176	-45.35348	-26.79477	394.5785	-0.5388989	0.1336677	2015	6	3	42158
272	42177	42177	-45.35348	-26.54581	394.4446	2.810047	0.3332695	2015	6	3	42158
273	42178	42178	-45.35348	-26.29685	394.1607	0.8103388	-0.3256999	2015	6	3	42158
274	42357	42357	-44.60425	-24.05622	395.7138	0.08180799	0.4936486	2015	6	28	42183
275	42358	42358	-44.60425	-23.80727	395.5659	0.2513397	-0.47019	2015	6	28	42183
276	42359	42359	-44.60425	-23.55831	395.507	-0.2921571	-0.2433618	2015	6	28	42183
277	42361	42361	-44.60425	-23.06039	394.3461	-0.5164812	0.2568516	2015	6	28	42183
278	42416	42416	-44.35451	-25.30102	395.7182	0.08954095	0.3362453	2015	6	28	42183
279	42417	42417	-44.35451	-25.05206	394.3783	0.01671766	0.142252	2015	6	28	42183
280	42418	42418	-44.35451	-24.8031	394.3214	0.2370523	0.6720397	2015	6	28	42183
281	42419	42419	-44.35451	-24.55414	394.6985	0.4525187	0.106683	2015	6	28	42183
282	42420	42420	-44.35451	-24.30518	395.3206	0.4736926	-0.02717798	2015	6	28	42183
283	42421	42421	-44.35451	-24.05622	395.2997	-0.1299613	-0.288215	2015	6	28	42183
284	42422	42422	-44.35451	-23.80727	395.2898	0.4426704	-0.3514799	2015	6	28	42183
285	42423	42423	-44.35451	-23.55831	394.9799	1.052223	-0.3300128	2015	6	28	42183
286	42473	42473	-44.10476	-25.54998	394.894	-0.07240687	-0.07233085	2015	6	28	42183
287	42474	42474	-44.10476	-25.30102	394.5121	0.7264436	-0.07254522	2015	6	28	42183
288	42475	42475	-44.10476	-25.05206	393.9472	0.4083104	0.1385542	2015	6	28	42183
289	49518	49518	-45.85297	-23.80727	391.1103	4.19371	-0.650364	2015	7	28	42213
290	49549	49549	-45.60323	-24.55414	385.1934	-0.1724713	-1.178066	2015	7	28	42213
291	57427	57427	-47.60118	-24.8031	395.6315	-0.4564155	-1.073642	2015	8	13	42229
